"REF_DATE","GEO","DGUID","Level of study","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Ontario","2016A000235","College","Average age at graduation","Years","308","units","0","v90470089","7.1.3","27","","","","0"
"2000","Ontario","2016A000235","College","Median age at graduation","Years","308","units","0","v90470090","7.1.4","23","","","","0"
"2000","Ontario","2016A000235","College","Under age 25 at graduation","Percent","239","units","0","v90470091","7.1.5","57","","","","0"
"2000","Ontario","2016A000235","College","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470092","7.1.6","24","","","","0"
"2000","Ontario","2016A000235","Bachelor's","Number of graduates","Number","223","units","0","v90470093","7.2.1","52400","","","","0"
"2000","Ontario","2016A000235","Bachelor's","Women+","Percent","239","units","0","v90470094","7.2.2","61","","","","0"
"2000","Ontario","2016A000235","Bachelor's","Average age at graduation","Years","308","units","0","v90470095","7.2.3","25","","","","0"
"2000","Ontario","2016A000235","Bachelor's","Median age at graduation","Years","308","units","0","v90470096","7.2.4","23","","","","0"
"2000","Ontario","2016A000235","Bachelor's","Under age 25 at graduation","Percent","239","units","0","v90470097","7.2.5","67","","","","0"
"2000","Ontario","2016A000235","Bachelor's","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470098","7.2.6","43","","","","0"
"2000","Ontario","2016A000235","Master's","Number of graduates","Number","223","units","0","v90470099","7.3.1","12100","","","","0"
"2000","Ontario","2016A000235","Master's","Women+","Percent","239","units","0","v90470100","7.3.2","59","","","","0"
"2000","Ontario","2016A000235","Master's","Average age at graduation","Years","308","units","0","v90470101","7.3.3","31","","","","0"
"2000","Ontario","2016A000235","Master's","Median age at graduation","Years","308","units","0","v90470102","7.3.4","27","","","","0"
"2000","Ontario","2016A000235","Master's","Under age 25 at graduation","Percent","239","units","0","v90470103","7.3.5","22","","","","0"
"2000","Ontario","2016A000235","Master's","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470104","7.3.6","33","","","","0"
"2000","Ontario","2016A000235","Doctorate","Number of graduates","Number","223","units","0","v90470105","7.4.1","1500","","","","0"
"2000","Ontario","2016A000235","Doctorate","Women+","Percent","239","units","0","v90470106","7.4.2","43","","","","0"
"2000","Ontario","2016A000235","Doctorate","Average age at graduation","Years","308","units","0","v90470107","7.4.3","36","","","","0"
"2000","Ontario","2016A000235","Doctorate","Median age at graduation","Years","308","units","0","v90470108","7.4.4","33","","","","0"
"2000","Ontario","2016A000235","Doctorate","Under age 25 at graduation","Percent","239","units","0","v90470109","7.4.5","","..","","","0"
"2000","Ontario","2016A000235","Doctorate","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470110","7.4.6","5","","","","0"
"2000","Manitoba","2016A000246","College","Number of graduates","Number","223","units","0","v90470111","8.1.1","2500","","","","0"
"2000","Manitoba","2016A000246","College","Women+","Percent","239","units","0","v90470112","8.1.2","61","","","","0"
"2000","Manitoba","2016A000246","College","Average age at graduation","Years","308","units","0","v90470113","8.1.3","27","","","","0"
"2000","Manitoba","2016A000246","College","Median age at graduation","Years","308","units","0","v90470114","8.1.4","24","","","","0"
"2000","Manitoba","2016A000246","College","Under age 25 at graduation","Percent","239","units","0","v90470115","8.1.5","56","","","","0"
"2000","Manitoba","2016A000246","College","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470116","8.1.6","21","","","","0"
"2000","Manitoba","2016A000246","Bachelor's","Number of graduates","Number","223","units","0","v90470117","8.2.1","4500","","","","0"
"2000","Manitoba","2016A000246","Bachelor's","Women+","Percent","239","units","0","v90470118","8.2.2","61","","","","0"
"2000","Manitoba","2016A000246","Bachelor's","Average age at graduation","Years","308","units","0","v90470119","8.2.3","26","","","","0"
"2000","Manitoba","2016A000246","Bachelor's","Median age at graduation","Years","308","units","0","v90470120","8.2.4","23","","","","0"
"2000","Manitoba","2016A000246","Bachelor's","Under age 25 at graduation","Percent","239","units","0","v90470121","8.2.5","66","","","","0"
"2000","Manitoba","2016A000246","Bachelor's","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470122","8.2.6","36","","","","0"
"2000","Manitoba","2016A000246","Master's","Number of graduates","Number","223","units","0","v90470123","8.3.1","600","","","","0"
"2000","Manitoba","2016A000246","Master's","Women+","Percent","239","units","0","v90470124","8.3.2","60","","","","0"
"2000","Manitoba","2016A000246","Master's","Average age at graduation","Years","308","units","0","v90470125","8.3.3","33","","","","0"
"2000","Manitoba","2016A000246","Master's","Median age at graduation","Years","308","units","0","v90470126","8.3.4","31","","","","0"
"2000","Manitoba","2016A000246","Master's","Under age 25 at graduation","Percent","239","units","0","v90470127","8.3.5","11","","","","0"
"2000","Manitoba","2016A000246","Master's","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470128","8.3.6","23","","","","0"
"2000","Manitoba","2016A000246","Doctorate","Number of graduates","Number","223","units","0","v90470129","8.4.1","100","","","","0"
"2000","Manitoba","2016A000246","Doctorate","Women+","Percent","239","units","0","v90470130","8.4.2","42","","","","0"
"2000","Manitoba","2016A000246","Doctorate","Average age at graduation","Years","308","units","0","v90470131","8.4.3","36","","","","0"
"2000","Manitoba","2016A000246","Doctorate","Median age at graduation","Years","308","units","0","v90470132","8.4.4","34","","","","0"
"2000","Manitoba","2016A000246","Doctorate","Under age 25 at graduation","Percent","239","units","0","v90470133","8.4.5","","..","","","0"
"2000","Manitoba","2016A000246","Doctorate","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470134","8.4.6","","x","","","0"
"2000","Saskatchewan","2016A000247","College","Number of graduates","Number","223","units","0","v90470135","9.1.1","2600","","","","0"
"2000","Saskatchewan","2016A000247","College","Women+","Percent","239","units","0","v90470136","9.1.2","63","","","","0"
"2000","Saskatchewan","2016A000247","College","Average age at graduation","Years","308","units","0","v90470137","9.1.3","27","","","","0"
"2000","Saskatchewan","2016A000247","College","Median age at graduation","Years","308","units","0","v90470138","9.1.4","23","","","","0"
"2000","Saskatchewan","2016A000247","College","Under age 25 at graduation","Percent","239","units","0","v90470139","9.1.5","56","","","","0"
"2000","Saskatchewan","2016A000247","College","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470140","9.1.6","17","","","","0"
"2000","Saskatchewan","2016A000247","Bachelor's","Number of graduates","Number","223","units","0","v90470141","9.2.1","4500","","","","0"
"2000","Saskatchewan","2016A000247","Bachelor's","Women+","Percent","239","units","0","v90470142","9.2.2","62","","","","0"
"2000","Saskatchewan","2016A000247","Bachelor's","Average age at graduation","Years","308","units","0","v90470143","9.2.3","26","","","","0"
"2000","Saskatchewan","2016A000247","Bachelor's","Median age at graduation","Years","308","units","0","v90470144","9.2.4","24","","","","0"
"2000","Saskatchewan","2016A000247","Bachelor's","Under age 25 at graduation","Percent","239","units","0","v90470145","9.2.5","61","","","","0"
"2000","Saskatchewan","2016A000247","Bachelor's","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470146","9.2.6","30","","","","0"
"2000","Saskatchewan","2016A000247","Master's","Number of graduates","Number","223","units","0","v90470147","9.3.1","700","","","","0"
"2000","Saskatchewan","2016A000247","Master's","Women+","Percent","239","units","0","v90470148","9.3.2","50","","","","0"
"2000","Saskatchewan","2016A000247","Master's","Average age at graduation","Years","308","units","0","v90470149","9.3.3","33","","","","0"
"2000","Saskatchewan","2016A000247","Master's","Median age at graduation","Years","308","units","0","v90470150","9.3.4","31","","","","0"
"2000","Saskatchewan","2016A000247","Master's","Under age 25 at graduation","Percent","239","units","0","v90470151","9.3.5","16","","","","0"
"2000","Saskatchewan","2016A000247","Master's","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470152","9.3.6","22","","","","0"
"2000","Saskatchewan","2016A000247","Doctorate","Number of graduates","Number","223","units","0","v90470153","9.4.1","100","","","","0"
"2000","Saskatchewan","2016A000247","Doctorate","Women+","Percent","239","units","0","v90470154","9.4.2","30","E","","","0"
"2000","Saskatchewan","2016A000247","Doctorate","Average age at graduation","Years","308","units","0","v90470155","9.4.3","33","","","","0"
"2000","Saskatchewan","2016A000247","Doctorate","Median age at graduation","Years","308","units","0","v90470156","9.4.4","31","","","","0"
"2000","Saskatchewan","2016A000247","Doctorate","Under age 25 at graduation","Percent","239","units","0","v90470157","9.4.5","","x","","","0"
"2000","Saskatchewan","2016A000247","Doctorate","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470158","9.4.6","15","E","","","0"
"2000","Alberta","2016A000248","College","Number of graduates","Number","223","units","0","v90470159","10.1.1","5500","","","","0"
"2000","Alberta","2016A000248","College","Women+","Percent","239","units","0","v90470160","10.1.2","58","","","","0"
"2000","Alberta","2016A000248","College","Average age at graduation","Years","308","units","0","v90470161","10.1.3","27","","","","0"
"2000","Alberta","2016A000248","College","Median age at graduation","Years","308","units","0","v90470162","10.1.4","24","","","","0"
"2000","Alberta","2016A000248","College","Under age 25 at graduation","Percent","239","units","0","v90470163","10.1.5","55","","","","0"
"2000","Alberta","2016A000248","College","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v90470164","10.1.6","23","","","","0"
"2000","Alberta","2016A000248","Bachelor's","Number of graduates","Number","223","units","0","v90470165","10.2.1","11100","","","","0"
